ADVERSARY_NAME,apt32,apt28,turla,lazarus-group,oilrig,apt41,gamaredon-group,dragonfly-2.0,unc2452,tropic-trooper,threat-group-3390,wizard-spider,fin6,sandworm-team,frankenstein,apt3,menupass,rocke,muddywater,bronze-butler,apt39,apt37,soft-cell,patchwork,ke3chang,silence,stealth-falcon,magic-hound,honeybee,inception,cobalt-group,apt38,leviathan,darkhotel,blue-mockingbird,apt33,apt19,kimsuky,fin8,darkvishnya,chimera,apt1,admin@338,leafminer,fin7,fin5,apt18,sowbug,platinum,night-dragon,molerats,elderwood,dark-caracal,apt29,whitefly,ta505,poseidon-group,gorgon-group,gold-southfield,temp.veles,suckfly,sharpshooter,fin10,dust-storm,deep-panda,axiom,apt-c-36,winnti-group,windshift,wirte,the-white-company,stolen-pencil,rtm,machete,group5,dragonfly,darkhydrus,carbanak,blacktech,thrip,threat-group-1314,ta459,rancor,putter-panda,pittytiger,promethium,naikon,mofang,gallmaker,fin4,equation,blackoasis,apt17,apt12,taidoor,strider,silverterrier,scarlet-mimic,orangeworm,neodymium,moafee,monsoon,lotus-blossom,gcman,dragonok,copykittens,cleaver,charming-kitten,apt34,apt30,apt16
apt32,-,4%,24%,21%,27%,27%,14%,30%,16%,37%,26%,31%,13%,20%,20%,40%,29%,21%,29%,14%,29%,15%,33%,25%,42%,9%,40%,40%,20%,22%,11%,11%,0%,25%,13%,0%,38%,29%,14%,29%,0%,43%,67%,50%,0%,17%,33%,60%,0%,0%,0%,0%,20%,0%,0%,0%,25%,0%,0%,0%,33%,0%,33%,33%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt28,4%,-,12%,8%,5%,5%,10%,5%,11%,11%,0%,0%,0%,7%,7%,13%,0%,7%,14%,7%,0%,15%,0%,8%,17%,0%,10%,20%,20%,22%,0%,11%,0%,13%,0%,13%,0%,14%,0%,14%,0%,14%,17%,17%,0%,0%,17%,20%,0%,0%,20%,0%,20%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,33%,33%,0%,0%,50%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
turla,23%,12%,-,25%,32%,14%,14%,20%,21%,26%,21%,19%,6%,20%,20%,40%,21%,21%,29%,29%,7%,23%,25%,17%,58%,9%,40%,40%,30%,33%,0%,22%,0%,38%,13%,0%,25%,29%,14%,0%,0%,57%,83%,33%,0%,17%,33%,40%,0%,0%,20%,0%,20%,0%,0%,0%,75%,0%,0%,0%,0%,0%,0%,33%,67%,0%,0%,50%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
lazarus-group,19%,8%,24%,-,23%,14%,14%,20%,16%,26%,11%,19%,0%,13%,27%,33%,7%,14%,36%,14%,7%,23%,17%,25%,33%,0%,50%,50%,30%,33%,0%,11%,0%,38%,13%,0%,38%,29%,0%,0%,0%,29%,50%,17%,0%,0%,33%,40%,0%,0%,20%,0%,20%,0%,0%,0%,25%,0%,0%,0%,0%,0%,33%,33%,33%,0%,0%,50%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
oilrig,23%,4%,28%,21%,-,18%,10%,15%,11%,32%,21%,19%,6%,13%,27%,33%,21%,21%,29%,7%,14%,23%,25%,17%,42%,0%,50%,40%,20%,22%,11%,22%,0%,38%,13%,0%,38%,14%,0%,14%,0%,57%,67%,17%,0%,0%,17%,20%,0%,0%,20%,0%,0%,0%,0%,0%,75%,0%,0%,0%,33%,0%,33%,0%,33%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt41,23%,4%,12%,13%,18%,-,10%,20%,5%,32%,16%,19%,6%,7%,13%,27%,21%,7%,21%,7%,21%,8%,25%,17%,25%,0%,20%,30%,10%,11%,11%,11%,0%,13%,0%,0%,25%,14%,0%,29%,0%,43%,50%,33%,0%,0%,17%,40%,0%,0%,0%,0%,20%,0%,0%,0%,25%,0%,0%,0%,33%,0%,33%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
gamaredon-group,12%,8%,12%,13%,9%,9%,-,10%,11%,16%,0%,13%,0%,7%,13%,20%,0%,7%,21%,7%,7%,23%,8%,25%,17%,0%,20%,30%,20%,22%,0%,0%,0%,13%,13%,0%,25%,29%,0%,0%,0%,0%,33%,17%,0%,0%,33%,40%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
dragonfly-2.0,23%,4%,16%,17%,14%,18%,10%,-,11%,21%,16%,25%,6%,13%,13%,27%,14%,7%,21%,14%,21%,8%,25%,17%,25%,9%,30%,30%,10%,11%,0%,0%,0%,13%,0%,0%,25%,14%,14%,14%,0%,29%,33%,33%,0%,17%,17%,40%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,33%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
unc2452,12%,8%,16%,13%,9%,5%,10%,10%,-,16%,5%,19%,6%,13%,13%,33%,7%,21%,21%,14%,7%,15%,8%,17%,33%,9%,20%,30%,30%,33%,0%,11%,0%,25%,13%,0%,13%,29%,14%,0%,0%,14%,33%,33%,0%,17%,33%,40%,0%,0%,20%,0%,20%,0%,0%,25%,25%,0%,0%,0%,0%,0%,0%,33%,67%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
tropic-trooper,27%,8%,20%,21%,27%,27%,14%,20%,16%,-,16%,25%,6%,13%,27%,40%,21%,21%,36%,14%,21%,23%,25%,25%,42%,0%,40%,50%,30%,44%,11%,22%,0%,38%,13%,0%,38%,29%,0%,29%,0%,57%,67%,33%,0%,0%,33%,60%,0%,0%,20%,0%,20%,0%,0%,0%,50%,0%,0%,0%,33%,0%,33%,33%,33%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
threat-group-3390,19%,0%,16%,8%,18%,14%,0%,15%,5%,16%,-,13%,13%,13%,7%,20%,29%,14%,7%,7%,14%,0%,25%,0%,25%,9%,20%,10%,0%,0%,11%,11%,0%,13%,0%,0%,13%,0%,14%,14%,0%,29%,33%,33%,0%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,33%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
wizard-spider,19%,0%,12%,13%,14%,14%,10%,20%,16%,21%,11%,-,6%,20%,20%,27%,14%,14%,21%,7%,21%,15%,25%,17%,25%,9%,30%,30%,10%,11%,0%,0%,0%,25%,13%,0%,38%,14%,14%,14%,0%,29%,33%,17%,0%,17%,17%,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
fin6,8%,0%,4%,0%,5%,5%,0%,5%,5%,5%,11%,6%,-,7%,0%,7%,14%,14%,0%,7%,14%,0%,8%,0%,8%,9%,0%,0%,0%,0%,11%,0%,0%,0%,0%,0%,0%,0%,14%,14%,0%,0%,0%,33%,0%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
sandworm-team,12%,4%,12%,8%,9%,5%,5%,10%,11%,11%,11%,19%,6%,-,13%,20%,14%,14%,14%,7%,7%,8%,17%,8%,25%,9%,20%,20%,10%,11%,0%,0%,0%,25%,13%,13%,25%,14%,14%,14%,0%,14%,33%,17%,0%,17%,17%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
frankenstein,12%,4%,12%,17%,18%,9%,10%,10%,11%,21%,5%,19%,0%,13%,-,27%,7%,14%,29%,0%,7%,23%,17%,17%,25%,0%,40%,40%,20%,22%,0%,11%,0%,38%,13%,0%,38%,14%,0%,0%,0%,29%,33%,0%,0%,0%,17%,20%,0%,0%,20%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,33%,0%,33%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
